epoch,time(s),train_loss,test_loss,test_error(%)
001,00106,1.552439,0.00136,48.91
002,00103,1.283640,0.00109,39.69
003,00102,1.142956,0.00084,27.24
004,00101,1.079851,0.00080,27.84
005,00103,0.983109,0.00069,22.55
006,00104,0.956712,0.00095,33.11
007,00105,0.916804,0.00066,21.35
008,00101,0.905118,0.00061,19.25
009,00102,0.858145,0.00062,21.47
010,00111,0.834819,0.00067,23.37
011,00101,0.840382,0.00059,19.43
012,00102,0.804560,0.00057,18.06
013,00102,0.811688,0.00061,20.59
014,00104,0.783364,0.00051,16.96
015,00111,0.715848,0.00050,16.40
016,00109,0.736447,0.00048,15.94
017,00108,0.723059,0.00046,15.44
018,00104,0.676899,0.00042,12.71
019,00109,0.665613,0.00039,12.78
020,00103,0.638867,0.00040,13.02
021,00102,0.599328,0.00037,11.84
022,00102,0.600212,0.00035,11.01
023,00107,0.551806,0.00034,10.98
024,00104,0.533145,0.00030,9.41
025,00103,0.503386,0.00030,9.39
026,00102,0.501105,0.00027,8.20
027,00102,0.488468,0.00026,8.09
028,00103,0.462543,0.00025,7.73
029,00103,0.459820,0.00025,7.51
030,00103,0.446721,0.00025,7.66
