epoch,time(s),train_loss,test_loss,test_error(%)
001,00053,1.298529,0.00136,49.17
002,00057,1.011874,0.00081,27.36
003,00063,0.893407,0.00070,23.39
004,00057,0.833693,0.00098,33.74
005,00061,0.799861,0.00060,19.86
006,00057,0.735196,0.00060,20.21
007,00059,0.714009,0.00055,18.49
008,00056,0.696287,0.00055,18.90
009,00058,0.653662,0.00054,18.37
010,00059,0.676490,0.00053,17.10
011,00060,0.653011,0.00046,15.36
012,00059,0.627256,0.00049,16.74
013,00064,0.585340,0.00050,16.83
014,00056,0.576921,0.00049,17.04
015,00055,0.562476,0.00047,16.32
016,00054,0.541190,0.00053,17.33
017,00057,0.508535,0.00040,13.39
018,00055,0.515965,0.00036,11.68
019,00054,0.493670,0.00032,10.66
020,00060,0.417365,0.00034,11.70
021,00057,0.426516,0.00029,9.43
022,00056,0.439132,0.00028,9.42
023,00058,0.353755,0.00025,8.30
024,00060,0.360957,0.00023,7.71
025,00060,0.310995,0.00021,7.11
026,00059,0.306091,0.00020,6.91
027,00055,0.274734,0.00019,6.29
028,00058,0.255030,0.00019,6.21
029,00061,0.220613,0.00018,6.10
030,00059,0.224162,0.00018,6.06
