epoch,time(s),train_loss,test_loss,test_error(%)
001,00085,1.437862,0.00143,52.92
002,00079,1.121597,0.00095,33.70
003,00079,0.979343,0.00078,26.78
004,00079,0.922949,0.00075,26.29
005,00079,0.846666,0.00073,25.03
006,00079,0.775789,0.00068,24.29
007,00079,0.783695,0.00065,22.32
008,00079,0.758409,0.00066,22.88
009,00079,0.695425,0.00051,17.66
010,00079,0.694941,0.00060,21.13
011,00079,0.669570,0.00055,18.92
012,00079,0.635031,0.00049,16.90
013,00079,0.634228,0.00048,16.00
014,00079,0.657850,0.00049,16.81
015,00079,0.578240,0.00039,13.16
016,00079,0.572455,0.00039,13.00
017,00079,0.541329,0.00050,17.91
018,00079,0.506562,0.00037,12.60
019,00079,0.509391,0.00035,12.16
020,00079,0.462390,0.00036,12.00
021,00079,0.451070,0.00031,10.42
022,00079,0.435229,0.00031,10.71
023,00079,0.422792,0.00028,9.49
024,00079,0.379456,0.00026,9.07
025,00079,0.368210,0.00025,8.43
026,00079,0.353259,0.00022,7.45
027,00079,0.327423,0.00021,7.05
028,00079,0.316702,0.00020,6.84
029,00079,0.314452,0.00020,6.70
030,00079,0.286118,0.00020,6.66
