epoch,time(s),train_loss,test_loss,test_error(%)
001,00086,1.564529,0.00130,45.45
002,00079,1.286643,0.00106,37.20
003,00079,1.106615,0.00086,28.73
004,00079,1.074337,0.00089,30.57
005,00079,0.975764,0.00075,26.17
006,00079,0.913078,0.00072,24.36
007,00079,0.910397,0.00065,21.11
008,00080,0.883080,0.00062,19.79
009,00079,0.830803,0.00063,20.52
010,00079,0.823339,0.00058,19.21
011,00079,0.796988,0.00059,20.18
012,00079,0.768412,0.00064,21.26
013,00079,0.766461,0.00058,19.22
014,00079,0.785901,0.00054,18.53
015,00079,0.706176,0.00047,14.99
016,00079,0.678831,0.00044,14.49
017,00079,0.700325,0.00048,16.34
018,00079,0.650290,0.00039,11.93
019,00080,0.640933,0.00037,11.61
020,00079,0.620592,0.00036,11.42
021,00079,0.588413,0.00034,10.89
022,00081,0.544390,0.00034,10.82
023,00079,0.521090,0.00030,9.90
024,00079,0.499130,0.00028,8.71
025,00079,0.496883,0.00027,8.01
026,00080,0.473803,0.00025,7.74
027,00079,0.470238,0.00024,7.65
028,00079,0.437809,0.00023,7.32
029,00079,0.418260,0.00023,7.24
030,00079,0.396840,0.00023,7.27
