epoch,time(s),train_loss,test_loss,test_error(%)
001,00151,2.092089,0.00198,75.04
002,00137,1.869085,0.00168,60.73
003,00136,1.676506,0.00157,57.23
004,00135,1.563292,0.00128,45.18
005,00133,1.348302,0.00111,38.33
006,00140,1.238241,0.00093,30.97
007,00142,1.106635,0.00084,28.65
008,00138,0.986312,0.00073,24.02
009,00141,0.975032,0.00067,22.38
010,00142,0.885848,0.00061,20.51
011,00133,0.867615,0.00062,20.10
012,00136,0.816680,0.00057,19.47
013,00134,0.831865,0.00067,23.40
014,00134,0.826597,0.00054,17.54
015,00143,0.781038,0.00048,15.28
016,00143,0.741271,0.00050,16.69
017,00145,0.720119,0.00050,16.79
018,00135,0.656734,0.00042,14.36
019,00137,0.666185,0.00042,13.90
020,00140,0.610363,0.00041,13.79
021,00142,0.564653,0.00036,12.05
022,00136,0.547065,0.00033,10.51
023,00140,0.545132,0.00031,9.98
024,00145,0.476991,0.00029,9.66
025,00143,0.470356,0.00027,9.14
026,00139,0.428883,0.00025,8.27
027,00134,0.434052,0.00024,8.00
028,00142,0.383503,0.00023,7.62
029,00139,0.382619,0.00023,7.60
030,00136,0.365070,0.00023,7.41
