gaussian_noise,00000,0.000000,0.00000,30.41
shot_noise,00000,0.000000,0.00000,23.49
impulse_noise,00000,0.000000,0.00000,15.35
defocus_blur,00000,0.000000,0.00000,8.95
glass_blur,00000,0.000000,0.00000,24.67
motion_blur,00000,0.000000,0.00000,11.30
zoom_blur,00000,0.000000,0.00000,10.05
snow,00000,0.000000,0.00000,15.66
frost,00000,0.000000,0.00000,16.00
fog,00000,0.000000,0.00000,13.74
brightness,00000,0.000000,0.00000,8.74
contrast,00000,0.000000,0.00000,15.96
elastic_transform,00000,0.000000,0.00000,12.91
pixelate,00000,0.000000,0.00000,16.83
jpeg_compression,00000,0.000000,0.00000,14.50
