epoch,time(s),train_loss,test_loss,test_error(%)
001,00097,1.296981,0.00104,37.17
002,00097,1.011459,0.00091,32.67
003,00101,0.874716,0.00069,23.39
004,00092,0.829771,0.00072,24.53
005,00090,0.789417,0.00078,27.79
006,00094,0.716405,0.00064,22.09
007,00092,0.704615,0.00057,18.73
008,00095,0.675735,0.00053,18.27
009,00089,0.631342,0.00052,17.68
010,00099,0.657974,0.00057,19.63
011,00093,0.628492,0.00047,16.12
012,00099,0.605273,0.00048,16.90
013,00109,0.564055,0.00041,13.80
014,00106,0.594545,0.00041,14.04
015,00102,0.538135,0.00041,13.68
016,00109,0.528196,0.00040,13.66
017,00108,0.499126,0.00038,12.78
018,00098,0.502848,0.00036,12.54
019,00094,0.463255,0.00034,11.53
020,00096,0.431411,0.00031,10.31
021,00096,0.407947,0.00028,9.31
022,00101,0.387653,0.00030,9.61
023,00101,0.340351,0.00025,8.27
024,00096,0.348143,0.00023,7.60
025,00098,0.306588,0.00023,7.76
026,00099,0.288811,0.00021,7.01
027,00098,0.259863,0.00019,6.22
028,00104,0.245181,0.00018,6.31
029,00104,0.201755,0.00018,6.34
030,00108,0.216638,0.00018,6.14
