epoch,time(s),train_loss,test_loss,test_error(%)
001,00099,1.564574,0.00124,43.61
002,00100,1.329983,0.00096,33.03
003,00102,1.217662,0.00083,27.99
004,00103,1.192332,0.00076,23.60
005,00103,1.120240,0.00074,22.43
006,00104,1.082620,0.00069,22.19
007,00101,1.060278,0.00071,24.25
008,00100,1.054546,0.00064,19.74
009,00100,1.055045,0.00064,20.59
010,00100,1.047357,0.00062,19.69
011,00096,1.013675,0.00058,17.67
012,00100,0.965088,0.00055,17.24
013,00098,0.932022,0.00055,17.42
014,00098,0.903177,0.00052,16.42
015,00101,0.926436,0.00050,15.90
016,00099,0.910073,0.00051,15.95
017,00102,0.919962,0.00049,15.50
018,00102,0.834800,0.00046,15.04
019,00106,0.814155,0.00044,14.04
020,00099,0.823872,0.00042,12.97
021,00101,0.791815,0.00040,12.88
022,00101,0.762124,0.00040,12.93
023,00098,0.741607,0.00038,12.22
024,00099,0.740446,0.00035,11.58
025,00098,0.707589,0.00033,10.50
026,00100,0.687290,0.00033,10.27
027,00103,0.671189,0.00031,10.00
028,00101,0.644102,0.00031,9.81
029,00099,0.671232,0.00030,9.65
030,00099,0.649660,0.00030,9.48
