epoch,time(s),train_loss,test_loss,test_error(%)
001,00038,2.068651,0.00199,76.02
002,00039,1.725575,0.00167,63.07
003,00039,1.546011,0.00144,52.89
004,00038,1.375756,0.00137,48.61
005,00037,1.243688,0.00130,45.14
006,00038,1.168606,0.00122,40.31
007,00038,1.115727,0.00104,35.94
008,00038,1.052022,0.00094,31.29
009,00039,0.990687,0.00092,30.49
010,00038,0.915849,0.00092,30.35
011,00036,0.870958,0.00082,27.04
012,00036,0.858266,0.00087,28.93
013,00037,0.846790,0.00075,25.31
014,00036,0.826367,0.00073,24.46
015,00037,0.760221,0.00084,27.25
016,00038,0.737489,0.00075,25.49
017,00038,0.710653,0.00071,23.92
018,00037,0.657921,0.00070,23.10
019,00038,0.635152,0.00064,21.44
020,00037,0.602756,0.00060,20.12
021,00038,0.577526,0.00059,19.77
022,00038,0.568423,0.00058,19.72
023,00038,0.507222,0.00056,19.00
024,00038,0.493012,0.00053,17.77
025,00037,0.486430,0.00053,17.70
026,00040,0.454697,0.00051,17.20
027,00040,0.420546,0.00050,16.70
028,00039,0.386880,0.00050,16.78
029,00038,0.421481,0.00049,16.38
030,00037,0.409916,0.00049,16.26
