epoch,time(s),train_loss,test_loss,test_error(%)
001,00074,1.209110,0.00125,43.86
002,00080,0.902868,0.00091,31.95
003,00083,0.774567,0.00078,27.54
004,00084,0.711765,0.00066,21.83
005,00084,0.695902,0.00075,24.93
006,00080,0.632082,0.00052,17.73
007,00080,0.591822,0.00065,21.65
008,00079,0.581680,0.00049,16.65
009,00077,0.538830,0.00050,16.79
010,00079,0.545793,0.00045,15.18
011,00086,0.537802,0.00046,15.71
012,00078,0.523019,0.00045,15.28
013,00080,0.488539,0.00050,16.91
014,00081,0.454242,0.00048,16.35
015,00078,0.410128,0.00042,14.27
016,00079,0.431648,0.00037,12.59
017,00082,0.380515,0.00054,17.29
018,00079,0.388707,0.00033,11.34
019,00076,0.374886,0.00031,10.70
020,00078,0.313146,0.00030,10.62
021,00080,0.310394,0.00027,9.25
022,00078,0.292046,0.00025,8.69
023,00078,0.257447,0.00024,8.17
024,00083,0.252093,0.00023,7.75
025,00083,0.208340,0.00022,7.24
026,00083,0.203522,0.00021,6.94
027,00084,0.156499,0.00020,6.49
028,00077,0.150071,0.00019,6.18
029,00083,0.141326,0.00019,6.25
030,00082,0.133892,0.00019,6.02
