epoch,time(s),train_loss,test_loss,test_error(%)
001,00069,1.406911,0.00118,40.24
002,00064,1.144009,0.00096,31.31
003,00065,1.020797,0.00077,23.88
004,00067,0.974072,0.00074,24.82
005,00069,0.941147,0.00069,22.06
006,00067,0.908448,0.00065,19.47
007,00064,0.883117,0.00066,20.53
008,00064,0.854249,0.00061,19.98
009,00064,0.780182,0.00056,17.73
010,00064,0.843506,0.00055,16.69
011,00066,0.781814,0.00054,15.94
012,00063,0.777592,0.00050,15.31
013,00065,0.749608,0.00054,17.34
014,00070,0.723634,0.00057,18.75
015,00069,0.679523,0.00049,15.41
016,00064,0.685861,0.00044,13.87
017,00068,0.632665,0.00041,12.38
018,00068,0.659165,0.00043,13.79
019,00065,0.628932,0.00038,11.65
020,00067,0.559071,0.00035,10.50
021,00070,0.567180,0.00034,10.37
022,00069,0.516328,0.00033,10.00
023,00066,0.484775,0.00030,9.19
024,00068,0.445548,0.00027,8.39
025,00070,0.462462,0.00026,8.04
026,00069,0.447879,0.00024,7.61
027,00068,0.387415,0.00023,6.86
028,00067,0.378082,0.00022,6.65
029,00067,0.346903,0.00021,6.49
030,00068,0.346517,0.00021,6.56
