epoch,time(s),train_loss,test_loss,test_error(%)
001,00062,1.464528,0.00123,42.72
002,00057,1.177592,0.00091,31.59
003,00057,1.083793,0.00078,26.28
004,00055,1.058896,0.00071,23.25
005,00055,0.962294,0.00066,21.88
006,00058,0.947549,0.00059,19.48
007,00058,0.910875,0.00059,20.14
008,00058,0.905268,0.00058,20.14
009,00057,0.903162,0.00056,18.83
010,00059,0.885586,0.00054,18.03
011,00058,0.874572,0.00051,16.78
012,00055,0.818105,0.00050,16.48
013,00057,0.789009,0.00049,16.63
014,00056,0.775480,0.00045,14.74
015,00057,0.771159,0.00045,15.03
016,00057,0.744493,0.00043,13.78
017,00057,0.751269,0.00047,16.05
018,00055,0.702391,0.00042,13.79
019,00058,0.659806,0.00039,13.30
020,00059,0.675590,0.00038,12.62
021,00057,0.631006,0.00033,11.05
022,00055,0.615704,0.00036,11.96
023,00058,0.581311,0.00032,10.50
024,00059,0.572125,0.00031,10.14
025,00060,0.564458,0.00029,9.57
026,00058,0.529035,0.00028,9.32
027,00059,0.521546,0.00027,9.03
028,00059,0.495326,0.00026,8.70
029,00056,0.530381,0.00026,8.79
030,00057,0.504243,0.00026,8.76
