epoch,time(s),train_loss,test_loss,test_error(%)
001,00136,1.535045,0.00140,51.93
002,00134,1.261658,0.00102,35.21
003,00132,1.126335,0.00085,28.76
004,00134,1.081363,0.00082,28.98
005,00133,0.996116,0.00077,26.18
006,00135,0.930342,0.00078,26.12
007,00133,0.916026,0.00078,27.03
008,00141,0.876571,0.00065,21.69
009,00135,0.834767,0.00064,21.70
010,00134,0.834998,0.00062,21.56
011,00135,0.811825,0.00054,17.28
012,00136,0.766772,0.00057,18.10
013,00134,0.799944,0.00056,18.38
014,00141,0.780349,0.00050,15.26
015,00136,0.729828,0.00047,15.25
016,00135,0.691382,0.00046,14.82
017,00135,0.712028,0.00048,16.45
018,00132,0.660485,0.00042,13.06
019,00136,0.664915,0.00037,11.74
020,00133,0.644047,0.00038,12.19
021,00136,0.615481,0.00035,10.46
022,00133,0.572365,0.00033,10.90
023,00133,0.547823,0.00033,10.80
024,00138,0.516261,0.00030,9.53
025,00135,0.515213,0.00029,8.98
026,00133,0.504379,0.00027,8.49
027,00134,0.474288,0.00026,8.23
028,00143,0.464269,0.00025,7.77
029,00139,0.458783,0.00025,7.81
030,00142,0.423783,0.00025,7.92
