epoch,time(s),train_loss,test_loss,test_error(%)
001,00202,1.527510,0.00134,49.97
002,00203,1.256672,0.00103,36.77
003,00202,1.116649,0.00084,27.75
004,00201,1.055992,0.00082,29.62
005,00204,0.969025,0.00081,28.92
006,00202,0.918609,0.00084,29.35
007,00199,0.893643,0.00071,24.13
008,00197,0.885527,0.00060,19.17
009,00201,0.800928,0.00055,18.32
010,00199,0.807320,0.00062,21.87
011,00201,0.787673,0.00053,17.81
012,00198,0.764224,0.00052,16.13
013,00200,0.762338,0.00062,21.30
014,00202,0.769010,0.00053,17.42
015,00201,0.697485,0.00046,15.04
016,00204,0.702565,0.00042,13.56
017,00203,0.688348,0.00043,14.13
018,00203,0.663730,0.00042,14.05
019,00202,0.644372,0.00041,13.71
020,00205,0.606345,0.00039,12.52
021,00201,0.593365,0.00034,10.58
022,00195,0.554246,0.00033,10.46
023,00203,0.518168,0.00034,11.09
024,00202,0.504800,0.00029,9.18
025,00201,0.495986,0.00028,8.89
026,00200,0.472879,0.00026,8.66
027,00199,0.463378,0.00025,8.03
028,00203,0.444744,0.00024,7.84
029,00200,0.458892,0.00024,7.54
030,00199,0.417222,0.00024,7.60
