gaussian_noise,00000,0.000000,0.00000,61.77
shot_noise,00000,0.000000,0.00000,50.24
impulse_noise,00000,0.000000,0.00000,44.92
defocus_blur,00000,0.000000,0.00000,24.02
glass_blur,00000,0.000000,0.00000,54.89
motion_blur,00000,0.000000,0.00000,30.06
zoom_blur,00000,0.000000,0.00000,29.88
snow,00000,0.000000,0.00000,25.03
frost,00000,0.000000,0.00000,29.82
fog,00000,0.000000,0.00000,20.04
brightness,00000,0.000000,0.00000,9.74
contrast,00000,0.000000,0.00000,36.58
elastic_transform,00000,0.000000,0.00000,18.86
pixelate,00000,0.000000,0.00000,28.79
jpeg_compression,00000,0.000000,0.00000,19.22
