epoch,time(s),train_loss,test_loss,test_error(%)
001,00195,1.543940,0.00124,43.91
002,00197,1.315034,0.00100,35.56
003,00198,1.211872,0.00081,26.52
004,00195,1.148874,0.00078,25.67
005,00201,1.099501,0.00070,22.14
006,00187,1.043984,0.00066,21.05
007,00193,1.034137,0.00068,23.31
008,00196,1.014973,0.00063,20.27
009,00198,1.011199,0.00063,21.02
010,00191,1.023243,0.00061,20.37
011,00199,0.994370,0.00057,17.65
012,00195,0.967652,0.00057,17.62
013,00193,0.907684,0.00056,18.16
014,00194,0.904167,0.00053,16.49
015,00191,0.910871,0.00051,15.84
016,00191,0.873808,0.00048,14.68
017,00203,0.871896,0.00049,15.62
018,00199,0.811737,0.00046,14.71
019,00200,0.783345,0.00044,14.17
020,00195,0.792678,0.00042,13.24
021,00196,0.764260,0.00040,12.53
022,00199,0.749394,0.00040,13.11
023,00199,0.730839,0.00038,12.37
024,00192,0.721336,0.00037,12.10
025,00199,0.692899,0.00034,11.23
026,00195,0.671204,0.00033,10.71
027,00192,0.664452,0.00032,10.53
028,00188,0.631212,0.00031,10.27
029,00198,0.652886,0.00031,10.14
030,00185,0.640875,0.00031,10.02
