gaussian_noise,00000,0.000000,0.00000,26.07
shot_noise,00000,0.000000,0.00000,23.02
impulse_noise,00000,0.000000,0.00000,31.22
defocus_blur,00000,0.000000,0.00000,17.50
glass_blur,00000,0.000000,0.00000,27.90
motion_blur,00000,0.000000,0.00000,20.68
zoom_blur,00000,0.000000,0.00000,18.94
snow,00000,0.000000,0.00000,24.09
frost,00000,0.000000,0.00000,23.13
fog,00000,0.000000,0.00000,23.08
brightness,00000,0.000000,0.00000,17.22
contrast,00000,0.000000,0.00000,32.64
elastic_transform,00000,0.000000,0.00000,19.74
pixelate,00000,0.000000,0.00000,18.06
jpeg_compression,00000,0.000000,0.00000,18.25
