epoch,time(s),train_loss,test_loss,test_error(%)
001,00111,1.158330,0.00139,47.10
002,00104,0.875803,0.00124,41.48
003,00103,0.729636,0.00093,32.76
004,00105,0.617500,0.00083,27.89
005,00105,0.590673,0.00083,27.57
006,00103,0.523398,0.00077,25.41
007,00103,0.511437,0.00064,20.10
008,00102,0.478830,0.00058,19.24
009,00104,0.438426,0.00052,17.78
010,00104,0.444683,0.00080,23.53
011,00104,0.393426,0.00057,18.24
012,00105,0.381596,0.00053,17.62
013,00104,0.381129,0.00047,15.61
014,00105,0.339751,0.00042,13.93
015,00105,0.333091,0.00067,19.76
016,00105,0.303526,0.00036,12.01
017,00104,0.267043,0.00042,13.61
018,00103,0.287373,0.00036,12.02
019,00103,0.233368,0.00038,12.64
020,00102,0.229600,0.00034,11.10
021,00103,0.202539,0.00033,10.70
022,00104,0.182049,0.00029,9.33
023,00102,0.127143,0.00029,9.22
024,00103,0.114331,0.00029,9.21
025,00105,0.106744,0.00026,8.23
026,00104,0.076581,0.00025,7.87
027,00103,0.067609,0.00025,7.73
028,00103,0.061702,0.00025,7.37
029,00103,0.062665,0.00025,7.40
030,00104,0.051201,0.00025,7.31
