epoch,time(s),train_loss,test_loss,test_error(%)
001,00184,2.037535,0.00197,76.16
002,00163,1.823805,0.00164,59.80
003,00165,1.607529,0.00143,50.82
004,00170,1.510176,0.00131,47.19
005,00168,1.302499,0.00114,40.60
006,00168,1.160830,0.00085,27.54
007,00170,1.046529,0.00079,27.22
008,00170,0.963762,0.00071,23.40
009,00180,0.951873,0.00064,21.11
010,00183,0.894582,0.00065,21.10
011,00161,0.834968,0.00057,18.66
012,00170,0.825420,0.00059,19.84
013,00171,0.814076,0.00058,20.02
014,00165,0.800245,0.00052,17.44
015,00153,0.794169,0.00054,17.87
016,00164,0.719138,0.00046,14.69
017,00153,0.721980,0.00050,16.92
018,00154,0.657592,0.00039,13.41
019,00153,0.640066,0.00042,13.88
020,00164,0.584654,0.00039,13.02
021,00153,0.582460,0.00037,12.20
022,00156,0.563627,0.00033,10.97
023,00152,0.543897,0.00032,10.53
024,00155,0.489826,0.00029,9.66
025,00157,0.449568,0.00027,9.12
026,00165,0.454739,0.00025,8.18
027,00153,0.423712,0.00024,7.62
028,00153,0.391772,0.00023,7.59
029,00152,0.398103,0.00023,7.40
030,00153,0.356308,0.00023,7.37
