epoch,time(s),train_loss,test_loss,test_error(%)
001,00065,1.560473,0.00126,44.25
002,00070,1.333342,0.00093,30.40
003,00070,1.220610,0.00082,26.83
004,00067,1.174903,0.00074,22.44
005,00067,1.103455,0.00072,22.00
006,00065,1.086311,0.00066,21.37
007,00068,1.042567,0.00071,25.03
008,00068,1.024420,0.00063,19.97
009,00066,1.028508,0.00062,19.32
010,00069,1.014132,0.00060,18.81
011,00066,1.014802,0.00056,17.70
012,00064,0.957562,0.00054,17.01
013,00066,0.919368,0.00054,17.76
014,00065,0.930527,0.00051,15.47
015,00065,0.916427,0.00050,15.33
016,00069,0.878351,0.00049,15.86
017,00064,0.892462,0.00048,15.49
018,00066,0.839156,0.00045,14.07
019,00067,0.799733,0.00044,13.55
020,00068,0.792871,0.00041,12.88
021,00068,0.776081,0.00039,12.07
022,00069,0.730302,0.00039,12.28
023,00069,0.733641,0.00037,12.01
024,00069,0.714995,0.00035,11.19
025,00067,0.693616,0.00033,10.67
026,00065,0.672005,0.00032,10.30
027,00067,0.656159,0.00031,9.86
028,00068,0.610680,0.00030,9.70
029,00066,0.638051,0.00030,9.69
030,00067,0.636911,0.00030,9.58
