epoch,time(s),train_loss,test_loss,test_error(%)
001,00138,2.034876,0.00196,73.16
002,00132,1.795642,0.00161,57.08
003,00132,1.581367,0.00133,44.08
004,00132,1.429022,0.00117,37.60
005,00132,1.245858,0.00111,37.35
006,00132,1.123823,0.00084,28.20
007,00132,1.032061,0.00077,26.08
008,00132,0.959018,0.00068,22.21
009,00132,0.933351,0.00060,19.58
010,00132,0.889837,0.00061,19.89
011,00132,0.844205,0.00061,19.75
012,00132,0.844481,0.00062,20.59
013,00132,0.824374,0.00057,18.83
014,00132,0.788776,0.00054,17.56
015,00132,0.776696,0.00050,16.01
016,00132,0.735960,0.00045,14.68
017,00132,0.697257,0.00048,15.85
018,00132,0.649028,0.00041,13.25
019,00132,0.646653,0.00039,12.94
020,00132,0.590560,0.00035,11.88
021,00132,0.566836,0.00035,11.63
022,00132,0.559318,0.00032,10.51
023,00132,0.536218,0.00029,9.57
024,00132,0.481251,0.00027,8.66
025,00132,0.475530,0.00026,8.61
026,00132,0.435456,0.00025,8.05
027,00132,0.418717,0.00023,7.58
028,00132,0.399811,0.00022,7.38
029,00132,0.379315,0.00022,7.15
030,00132,0.374087,0.00022,7.04
