epoch,time(s),train_loss,test_loss,test_error(%)
001,00112,1.351354,0.00127,43.90
002,00115,1.099962,0.00094,31.85
003,00105,0.988904,0.00079,26.56
004,00107,0.920035,0.00069,23.65
005,00106,0.861831,0.00077,27.41
006,00111,0.839075,0.00066,22.96
007,00108,0.794959,0.00059,18.85
008,00104,0.746641,0.00062,20.92
009,00109,0.711499,0.00061,20.67
010,00110,0.761500,0.00057,18.30
011,00106,0.694274,0.00051,16.52
012,00108,0.687722,0.00050,16.75
013,00113,0.632105,0.00047,15.03
014,00118,0.659250,0.00052,17.49
015,00110,0.638111,0.00041,13.22
016,00105,0.608741,0.00044,14.46
017,00106,0.567131,0.00037,12.19
018,00109,0.536219,0.00043,14.20
019,00113,0.543393,0.00034,10.95
020,00107,0.507597,0.00033,10.41
021,00104,0.516112,0.00033,10.96
022,00105,0.479178,0.00030,9.91
023,00108,0.411819,0.00027,9.08
024,00108,0.425656,0.00027,8.34
025,00107,0.376845,0.00023,7.59
026,00114,0.359371,0.00022,7.51
027,00113,0.312187,0.00021,6.94
028,00113,0.306164,0.00020,6.76
029,00111,0.287490,0.00020,6.61
030,00110,0.288562,0.00020,6.46
