epoch,time(s),train_loss,test_loss,test_error(%)
001,00096,1.415046,0.00109,38.75
002,00094,1.163181,0.00096,32.18
003,00094,1.032012,0.00075,23.27
004,00098,1.008446,0.00071,22.05
005,00093,0.945862,0.00066,20.37
006,00099,0.907089,0.00071,22.95
007,00092,0.859312,0.00064,20.39
008,00091,0.851589,0.00062,20.20
009,00091,0.822353,0.00062,19.44
010,00094,0.871052,0.00070,21.51
011,00092,0.808571,0.00055,16.09
012,00095,0.768295,0.00056,17.38
013,00097,0.729871,0.00047,14.55
014,00096,0.762840,0.00051,15.96
015,00094,0.704879,0.00050,15.33
016,00096,0.712543,0.00048,15.50
017,00091,0.646987,0.00047,15.01
018,00092,0.665949,0.00042,12.70
019,00092,0.632593,0.00038,11.48
020,00090,0.580026,0.00037,11.18
021,00093,0.563062,0.00034,10.20
022,00093,0.535676,0.00033,10.38
023,00091,0.499639,0.00031,9.55
024,00089,0.499309,0.00028,8.50
025,00089,0.487037,0.00026,8.23
026,00091,0.434274,0.00024,7.53
027,00094,0.414500,0.00023,7.21
028,00091,0.402549,0.00023,7.00
029,00097,0.364296,0.00022,6.77
030,00090,0.351087,0.00022,6.67
