epoch,time(s),train_loss,test_loss,test_error(%)
001,00137,2.074213,0.00203,79.84
002,00131,1.936737,0.00186,71.91
003,00131,1.616864,0.00152,57.54
004,00131,1.466233,0.00134,50.71
005,00131,1.224878,0.00115,41.76
006,00131,1.106454,0.00136,44.24
007,00131,0.940602,0.00085,30.06
008,00131,0.797578,0.00078,27.24
009,00131,0.758616,0.00078,27.69
010,00132,0.684639,0.00077,25.82
011,00131,0.658480,0.00060,20.48
012,00131,0.613762,0.00058,20.00
013,00131,0.597444,0.00061,22.00
014,00131,0.567563,0.00052,18.21
015,00132,0.546562,0.00055,18.93
016,00131,0.511556,0.00045,15.85
017,00131,0.465779,0.00041,14.08
018,00131,0.430996,0.00046,15.92
019,00131,0.404016,0.00036,12.73
020,00131,0.359769,0.00038,12.86
021,00131,0.329367,0.00032,10.94
022,00132,0.330517,0.00029,9.86
023,00131,0.302421,0.00026,9.34
024,00131,0.254657,0.00025,8.67
025,00131,0.234591,0.00022,7.45
026,00132,0.220601,0.00021,7.40
027,00131,0.208655,0.00021,6.97
028,00131,0.181768,0.00020,6.61
029,00131,0.177814,0.00019,6.62
030,00131,0.143376,0.00019,6.60
