epoch,time(s),train_loss,test_loss,test_error(%)
001,00127,1.565332,0.00125,43.40
002,00132,1.324166,0.00096,32.32
003,00135,1.208287,0.00081,26.04
004,00133,1.173178,0.00079,23.85
005,00129,1.120402,0.00071,22.24
006,00132,1.070472,0.00066,20.47
007,00133,1.052220,0.00068,22.16
008,00131,1.034357,0.00062,19.50
009,00134,1.030801,0.00063,20.19
010,00133,1.051091,0.00062,19.17
011,00134,1.013816,0.00058,17.17
012,00133,0.973156,0.00059,19.03
013,00134,0.933150,0.00056,18.36
014,00130,0.919796,0.00053,16.18
015,00127,0.912575,0.00049,15.20
016,00133,0.903969,0.00049,14.85
017,00134,0.881420,0.00050,16.16
018,00131,0.845554,0.00046,14.75
019,00133,0.814852,0.00043,13.57
020,00134,0.827063,0.00043,12.71
021,00134,0.808156,0.00041,12.65
022,00129,0.759024,0.00039,12.45
023,00135,0.731430,0.00037,11.53
024,00131,0.717619,0.00037,11.65
025,00134,0.709096,0.00034,11.02
026,00134,0.665988,0.00033,10.31
027,00134,0.659294,0.00032,10.13
028,00133,0.642055,0.00031,9.84
029,00134,0.665687,0.00031,9.78
030,00133,0.654510,0.00031,9.74
