epoch,time(s),train_loss,test_loss,test_error(%)
001,00137,2.281790,0.00225,84.99
002,00131,2.010632,0.00188,70.90
003,00131,1.697513,0.00155,56.10
004,00131,1.488978,0.00125,44.18
005,00131,1.231957,0.00103,34.63
006,00132,1.118966,0.00091,31.89
007,00131,1.005957,0.00080,27.22
008,00132,0.877621,0.00073,25.32
009,00132,0.818887,0.00067,23.56
010,00132,0.759545,0.00064,22.19
011,00131,0.722391,0.00058,19.76
012,00131,0.676604,0.00054,18.33
013,00131,0.709552,0.00063,22.11
014,00131,0.644694,0.00050,17.47
015,00131,0.609465,0.00044,15.00
016,00131,0.595382,0.00046,16.33
017,00131,0.565490,0.00043,15.18
018,00131,0.533259,0.00039,13.11
019,00131,0.510820,0.00036,12.20
020,00131,0.443018,0.00035,12.12
021,00131,0.429202,0.00032,11.24
022,00131,0.414490,0.00029,9.87
023,00131,0.383479,0.00027,9.16
024,00131,0.356655,0.00025,8.58
025,00131,0.326777,0.00023,8.15
026,00131,0.284190,0.00022,7.32
027,00131,0.283387,0.00021,7.10
028,00132,0.259663,0.00020,6.87
029,00131,0.239809,0.00020,6.74
030,00131,0.230213,0.00020,6.75
