epoch,time(s),train_loss,test_loss,test_error(%)
001,00125,1.398837,0.00115,40.10
002,00122,1.145323,0.00093,32.74
003,00120,1.026057,0.00076,23.97
004,00126,0.982210,0.00073,24.08
005,00122,0.934600,0.00075,24.84
006,00124,0.894102,0.00062,19.78
007,00123,0.855766,0.00065,20.80
008,00126,0.826914,0.00064,21.90
009,00124,0.827611,0.00061,19.74
010,00124,0.825184,0.00056,17.64
011,00126,0.831126,0.00061,18.86
012,00127,0.782801,0.00052,16.39
013,00129,0.757924,0.00049,15.54
014,00121,0.713747,0.00048,15.45
015,00122,0.714317,0.00049,16.08
016,00123,0.703208,0.00047,15.00
017,00124,0.659964,0.00041,12.49
018,00120,0.619978,0.00042,13.53
019,00120,0.611025,0.00039,12.34
020,00123,0.603094,0.00036,11.00
021,00121,0.563877,0.00034,10.83
022,00120,0.573864,0.00031,9.98
023,00120,0.484937,0.00029,9.14
024,00124,0.494106,0.00027,8.25
025,00121,0.466682,0.00026,8.07
026,00120,0.468823,0.00025,7.68
027,00120,0.406497,0.00023,7.24
028,00122,0.404435,0.00022,6.77
029,00122,0.346820,0.00022,6.90
030,00122,0.354161,0.00022,6.88
