epoch,time(s),train_loss,test_loss,test_error(%)
001,00137,2.210944,0.00216,80.67
002,00131,2.039288,0.00191,71.82
003,00131,1.817524,0.00163,55.80
004,00131,1.623405,0.00146,49.98
005,00131,1.355442,0.00129,41.39
006,00131,1.222643,0.00088,29.59
007,00131,1.087954,0.00081,26.53
008,00131,0.989255,0.00071,22.95
009,00131,0.973954,0.00069,23.13
010,00131,0.922689,0.00063,20.08
011,00131,0.868735,0.00063,20.80
012,00131,0.827327,0.00059,20.38
013,00131,0.820653,0.00063,21.55
014,00131,0.785002,0.00052,17.10
015,00131,0.734325,0.00049,15.22
016,00131,0.715874,0.00045,14.76
017,00131,0.697823,0.00050,16.94
018,00131,0.641075,0.00042,13.67
019,00131,0.630548,0.00039,13.30
020,00131,0.580172,0.00038,12.14
021,00131,0.559647,0.00033,10.65
022,00131,0.545893,0.00031,9.88
023,00131,0.498389,0.00029,9.36
024,00131,0.470084,0.00026,8.52
025,00131,0.429201,0.00024,7.75
026,00131,0.402974,0.00022,7.54
027,00131,0.397823,0.00022,7.12
028,00131,0.349008,0.00020,6.57
029,00131,0.351757,0.00020,6.56
030,00131,0.321517,0.00020,6.51
