epoch,time(s),train_loss,test_loss,test_error(%)
001,00206,2.040768,0.00192,71.43
002,00202,1.859678,0.00173,65.54
003,00199,1.682668,0.00151,54.39
004,00202,1.570109,0.00140,52.92
005,00195,1.357403,0.00149,50.01
006,00199,1.255364,0.00099,34.92
007,00199,1.151962,0.00090,29.89
008,00199,1.003825,0.00077,25.48
009,00203,0.984756,0.00086,30.32
010,00197,0.934560,0.00066,20.54
011,00205,0.886570,0.00072,23.39
012,00197,0.845127,0.00063,21.15
013,00201,0.806623,0.00065,23.43
014,00204,0.838273,0.00060,19.21
015,00206,0.772019,0.00052,18.03
016,00203,0.730105,0.00049,16.64
017,00200,0.721006,0.00051,16.75
018,00198,0.685060,0.00044,14.37
019,00203,0.655255,0.00044,14.60
020,00197,0.618877,0.00041,13.93
021,00197,0.588644,0.00038,12.60
022,00201,0.558360,0.00034,11.07
023,00198,0.551358,0.00032,10.43
024,00204,0.506534,0.00030,9.86
025,00200,0.476474,0.00028,9.15
026,00202,0.455264,0.00027,8.75
027,00204,0.454434,0.00026,8.38
028,00204,0.403607,0.00025,8.13
029,00201,0.389910,0.00024,8.13
030,00196,0.391597,0.00024,8.00
