epoch,time(s),train_loss,test_loss,test_error(%)
001,00181,1.531662,0.00146,53.36
002,00167,1.273906,0.00105,37.21
003,00176,1.109164,0.00095,32.05
004,00170,1.091430,0.00086,30.78
005,00172,0.997230,0.00077,26.17
006,00179,0.902981,0.00095,32.93
007,00176,0.897451,0.00064,21.00
008,00172,0.891950,0.00069,22.30
009,00176,0.818900,0.00058,18.92
010,00167,0.835908,0.00063,20.53
011,00167,0.811805,0.00055,17.58
012,00167,0.791167,0.00053,17.00
013,00177,0.777722,0.00059,19.56
014,00178,0.780049,0.00052,16.67
015,00171,0.721995,0.00050,16.70
016,00182,0.685579,0.00057,19.17
017,00169,0.676773,0.00049,16.77
018,00165,0.656020,0.00041,13.10
019,00166,0.623934,0.00039,12.42
020,00174,0.612015,0.00038,12.04
021,00179,0.627008,0.00036,11.89
022,00171,0.570115,0.00035,11.45
023,00168,0.541214,0.00033,10.59
024,00172,0.521390,0.00030,9.92
025,00166,0.515141,0.00029,9.42
026,00171,0.500392,0.00027,8.39
027,00175,0.464418,0.00026,8.01
028,00175,0.439398,0.00025,8.03
029,00180,0.450513,0.00025,7.91
030,00183,0.412621,0.00025,7.83
